,document_file_id,link,file,extension
101,84521,https://declarator.org/document/70338/file/84521,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
102,84522,https://declarator.org/document/70338/file/84522,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
103,84524,https://declarator.org/document/70338/file/84524,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
104,84529,https://declarator.org/document/70338/file/84529,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
105,84530,https://declarator.org/document/70338/file/84530,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
106,84547,https://declarator.org/document/70338/file/84547,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
107,84548,https://declarator.org/document/70338/file/84548,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
108,84562,https://declarator.org/document/70338/file/84562,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
109,84563,https://declarator.org/document/70338/file/84563,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
110,84561,https://declarator.org/document/70338/file/84561,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
111,84581,https://declarator.org/document/70338/file/84581,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
112,84599,https://declarator.org/document/70338/file/84599,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.doc""",doc
113,84635,https://declarator.org/document/70338/file/84635,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
114,84708,https://declarator.org/document/70338/file/84708,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).doc""",doc
115,84707,https://declarator.org/document/70338/file/84707,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).doc""",doc
